#DEPTH,lithology,lithology_CNN,CASE,Fluid_KNN
1525.125,Shale,Shale,Non-Reservoir,Non-Reservoir
1525.25,Shale,Shale,Non-Reservoir,Non-Reservoir
1525.375,Shale,Shale,Non-Reservoir,Non-Reservoir
1525.5,Shale,Shale,Non-Reservoir,Non-Reservoir
1525.625,Shale,Shale,Non-Reservoir,Non-Reservoir
1525.75,Shale,Shale,Non-Reservoir,Non-Reservoir
1525.875,Shale,Shale,Non-Reservoir,Non-Reservoir
1526,Shale,Shale,Non-Reservoir,Non-Reservoir
1526.125,Shale,Shale,Non-Reservoir,Non-Reservoir
1526.25,Shale,Shale,Non-Reservoir,Non-Reservoir
1526.375,Shale,Shale,Non-Reservoir,Non-Reservoir
1526.5,Shale,Shale,Non-Reservoir,Oil-Bearing Water Layer
1526.625,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1526.75,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1526.875,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1527,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1527.125,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1527.25,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1527.375,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1527.5,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1527.625,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1527.75,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1527.875,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1528,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1528.125,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1528.25,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1528.375,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1528.5,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1528.625,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1528.75,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1528.875,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1529,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1529.125,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
