#DEPTH	POR	Vma	Vsh	Sw	Sh	Sxo	Vma1	Vma2	Vma3	Shm	Shr	DEN	AC	CNL	RT	RXO	GR	SP	CAL	Vsh_multi	POR_multi	Sw_multi
1650.5	14.7422981	41.8756987	43.3820032	24.138922	75.861078	99.99	38.32548908	2.284556496	1.265653118	75.851078	0.01	1.9942492294058591	211.19604781498523	16.22826682	3.261104204	0.857257547	161.43146426018694	52.68859574	22.496521277710265	42.25798547	14.454150220886067	26.97065771
1650.625	15.13373196	41.48470781	43.38156023	23.68404107	76.31595893	98.73664997	37.96764629	2.263225729	1.253835791	75.0526089	1.263350026	1.9907162181331426	212.2656480212509	16.37457761	3.299026352	0.851111376	161.49156147419365	53.4759391	22.496334595496748	43.25141609	14.54287629944444	26.88993812
1650.75	15.2764041	40.6507233	44.0728726	23.14715813	76.85284187	98.70021266	37.20436675	2.217727151	1.228629403	75.55305453	1.299787338	1.9814171860057872	212.83537538580993	16.46085633	3.394059288	0.842542289	161.69272040294007	53.21971523	22.496187117932138	43.28692257	14.498549923676219	25.17365515
1650.875	15.19557274	40.15858285	44.64584442	22.27867228	77.72132772	99.99	36.75394982	2.190878102	1.213754927	77.71132772	0.01	1.9667233300641094	212.91156212148857	16.67145497	3.407122919	0.834356909	162.12335023065083	53.42502631	22.496080525090154	43.98959279	14.356155388596012	25.24453402
1651	15.40817652	39.33114705	45.26067644	22.65069158	77.34930842	98.84364698	35.99666379	2.145736794	1.188746468	76.1929554	1.156353018	1.9473155683996675	212.62130036204306	16.86003483	3.434566643	0.834059664	162.6639442528337	53.98698992	22.496014387028715	44.05614436	14.169350153860286	24.68290329
1651.125	14.97080245	40.3463353	44.68286225	22.33110214	77.66889786	96.38031217	36.92578467	2.201121062	1.219429566	74.04921003	3.619687827	1.9245169752514075	212.27670047484105	16.92081956	3.463595182	0.847647073	163.0799374621459	52.78192374	22.495986400368867	42.7616775	13.995451996895822	23.97338748
1651.25	14.72161367	41.74238807	43.53599826	22.78651748	77.21348252	94.73243758	38.20348049	2.277283646	1.261623931	71.9459201	5.267562419	1.9007004162474705	212.16297117054688	17.06079442	3.42722972	0.85983482	163.1928358150359	52.43095571	22.49599271261509	44.66558397	13.863293111257194	24.79919493
1651.375	15.00135537	40.42281813	44.5758265	23.32141018	76.67858982	94.99135695	36.99578331	2.205293634	1.221741187	71.66994678	5.008643048	1.8789678661958935	212.33701436534975	17.11180854	3.434083301	0.869216674	162.93935679142083	54.84752208	22.496028272010786	46.02156878	13.77560326262899	24.73980486
1651.5	15.37563613	39.84546903	44.77889484	22.71335353	77.28664647	95.67968063	36.4673817	2.173795971	1.20429136	72.96632711	4.320319368	1.8621384931553557	212.7607761547224	17.09926846	3.436908163	0.87150638	162.31958123735114	52.73098361	22.496087193845703	45.19676566	13.743371692091813	24.5698899
1651.625	15.40434677	40.33241938	44.26323385	22.36724539	77.63275461	95.67070725	36.91304854	2.20036187	1.21900897	73.30346185	4.329292753	1.851850204761727	213.42564354146808	17.21244295	3.455487533	0.867238226	161.43079285213759	54.30670838	22.49616321897202	45.12404203	13.788389245203874	25.34309626
1651.75	15.6881002	40.03888462	44.27301518	21.74291881	78.25708119	93.73958087	36.64439957	2.184347886	1.210137162	71.99666206	6.260419129	1.8485649315644246	214.28858499129322	17.30178576	3.497694223	0.869304801	160.47495217149952	53.73298549	22.496250080199708	46.05690241	13.91422200103234	24.87168908
